ID,price,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,priceByArea,hasPlan,has3DTour,has360,topPlus,suggestedTexts_subtitle,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
105830588,190000.0,15,0.0,50.0,0,1,1,0,1,1,3800.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
106221698,2550000.0,5,1.0,228.0,1,3,4,0,1,1,11184.0,1,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,1,0,0,0
107419740,295000.0,22,1.0,45.0,0,1,1,0,1,1,6556.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107456726,335000.0,11,3.0,35.0,1,0,1,1,1,1,9571.0,0,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,0,1,0,0
107424439,1195000.0,29,2.0,134.0,1,3,3,1,1,1,8918.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106731848,320000.0,41,4.0,40.0,0,1,1,0,1,0,8000.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
105659104,246000.0,21,0.0,30.0,0,1,1,0,1,1,8200.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106692199,995000.0,10,4.0,157.0,1,2,2,0,1,1,6338.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106655143,255000.0,9,1.0,31.0,0,0,1,0,1,0,8226.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,0,1,0,0
107188870,265000.0,31,0.0,68.0,1,2,1,0,1,1,3897.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
103302243,1080000.0,24,0.5,107.0,1,2,2,1,1,1,10093.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
102239819,490000.0,16,1.0,174.0,0,1,2,1,1,1,2816.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107319322,550000.0,24,3.0,101.0,1,1,2,1,1,0,5446.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
107504962,620000.0,55,4.0,70.0,1,3,1,0,1,1,8857.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107299642,169000.0,24,3.0,35.0,0,0,1,0,1,0,4829.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,0,1,0,0
