ID,price,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
106157050,650000.0,0,20,1.0,101.0,1,5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107278033,439000.0,0,37,2.0,59.0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
107459588,570000.0,0,20,2.0,76.0,1,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
107362933,1780000.0,1,34,6.0,145.0,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107445239,950000.0,0,24,1.0,153.0,1,4,3,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
107298591,725000.0,0,20,5.0,113.0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
107298626,1079000.0,0,20,2.0,128.0,1,3,3,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
107298617,789000.0,0,20,4.0,101.0,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107490521,1090000.0,0,34,2.0,100.0,1,2,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
107162783,565000.0,1,26,1.0,84.0,1,3,2,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
101166377,1580000.0,0,33,3.0,125.0,1,3,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
106588391,780000.0,0,49,0.0,125.0,1,2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
106975939,1800000.0,1,37,4.0,168.0,1,3,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
107124132,996000.0,0,39,1.0,122.0,1,3,3,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107173267,759000.0,0,28,4.0,84.0,1,2,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
107550415,1250000.0,0,27,3.0,203.0,1,2,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
107210069,875000.0,0,19,0.5,89.0,1,2,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
107350205,1090000.0,0,18,2.0,95.0,1,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
107551768,548000.0,0,23,1.0,119.0,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105501758,750000.0,0,34,0.0,94.0,1,2,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
107099017,1589000.0,0,29,2.0,213.0,1,3,4,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
107111354,2300000.0,0,27,2.0,183.0,1,2,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
106517405,1490000.0,1,37,4.0,178.0,1,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
107453593,1150000.0,1,33,5.0,123.0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
103711174,1395000.0,0,42,2.0,221.0,1,4,5,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107474556,985000.0,0,25,1.0,128.0,1,3,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107020358,2500000.0,0,47,2.0,262.0,1,3,4,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
107533077,810000.0,0,41,1.0,112.0,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
106662742,1150000.0,1,27,5.0,92.0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
106031433,1700000.0,0,53,1.0,200.0,1,7,4,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
103759662,1800000.0,1,20,4.0,181.0,1,2,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107155936,1300000.0,0,49,2.0,205.0,1,4,4,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
107558322,850000.0,0,37,4.0,135.0,1,3,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
106535360,500000.0,0,21,3.0,58.0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
106413205,789000.0,0,18,4.0,101.0,1,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
105497637,800000.0,0,34,2.0,119.0,0,2,2,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
106734301,1700000.0,0,42,1.0,201.0,1,4,3,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
107221413,267000.0,0,32,2.0,36.0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
106693695,953900.0,0,36,1.0,97.0,1,2,2,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
107569673,279800.0,1,26,5.0,33.0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
106444306,1700000.0,0,30,1.0,200.0,1,7,4,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
106135776,829000.0,0,10,2.0,99.0,1,2,2,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
107308505,1100000.0,0,23,1.0,129.0,1,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
107516987,275000.0,0,23,2.0,51.0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107334886,975000.0,0,59,3.0,158.0,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
107470011,1150000.0,0,15,1.0,106.0,1,2,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107409565,840000.0,0,38,2.0,140.0,1,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
107470148,1200000.0,0,15,2.0,100.0,1,2,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
106970345,1500000.0,0,6,0.0,150.0,1,2,3,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107470189,1250000.0,0,15,3.0,106.0,1,2,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107408469,799000.0,0,9,4.0,79.0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107150334,1175000.0,0,43,0.0,169.0,1,3,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106703884,2300000.0,0,17,0.0,220.0,1,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
104491372,899000.0,0,91,1.0,135.0,0,3,3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
107045524,1589000.0,0,12,2.0,136.0,1,3,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
106095614,339000.0,0,41,3.0,60.0,1,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
106663921,290000.0,0,29,1.0,62.0,0,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
106737887,1700000.0,0,29,1.0,179.0,1,7,4,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
102616042,1049000.0,0,18,2.0,128.0,1,3,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
106143924,625000.0,0,22,4.0,104.0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
106471912,599000.0,0,20,1.0,69.0,1,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
101950900,625000.0,0,32,4.0,104.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
106827819,950000.0,0,30,1.0,85.0,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
107124331,849000.0,0,19,4.0,146.0,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107537344,470000.0,0,31,1.0,58.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
105028024,690000.0,0,33,0.0,124.0,0,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
106609884,2250000.0,0,20,5.0,260.0,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
106634448,840000.0,0,36,2.0,120.0,1,4,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106660566,380000.0,0,20,5.0,61.0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105935294,1650000.0,1,29,1.0,240.0,1,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106282779,325000.0,0,26,5.0,61.0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
106616189,530000.0,0,40,3.0,56.0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107309561,500000.0,0,38,4.0,60.0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
107119676,950000.0,0,32,3.0,157.0,1,6,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
107175088,820000.0,0,5,4.0,98.0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107219911,454900.0,0,35,1.0,91.0,0,2,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
107123975,900000.0,0,17,1.0,94.0,1,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106743824,2200000.0,0,36,1.0,319.0,1,5,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
106690609,1300000.0,0,20,1.0,144.0,0,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
107293345,895000.0,0,20,3.0,160.0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
105201645,850000.0,0,41,3.0,94.0,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
101539091,440000.0,0,36,1.0,60.0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
107552714,525000.0,1,43,4.0,70.0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
105224857,1400000.0,0,19,2.0,101.0,1,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
99299268,475000.0,1,46,2.0,72.0,1,2,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
107208669,595000.0,0,9,2.0,66.0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
105382711,530000.0,0,42,3.0,63.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
101308841,1900000.0,1,103,1.0,215.0,1,7,6,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
100931486,520000.0,0,49,2.0,65.0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
107233482,1100000.0,0,33,4.0,134.0,1,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105776070,475000.0,0,40,4.0,80.0,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
107332397,695000.0,1,19,3.0,85.0,1,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
101965364,990000.0,1,47,5.0,95.0,1,2,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
106235267,715000.0,1,40,3.0,90.0,1,2,2,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
107281979,439000.0,0,24,2.0,59.0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
106543223,450000.0,0,39,3.0,50.0,0,2,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
107297781,850000.0,0,29,4.0,133.0,1,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107079999,597500.0,1,48,4.0,112.0,1,2,2,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
106394045,910000.0,0,56,3.0,135.0,1,4,3,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
