ID,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex,priceLog
103237345,0,0.8352594123063504,3.0,0.6466085116968946,1,0.3962406251802891,0.3962406251802891,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.58609739363647
107063842,0,0.7959212854693812,0.0,0.31882850899030823,0,0.25,0.25,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,12.644327576461329
104876063,0,0.5694092009084916,0.0,0.5228506613394143,1,0.3962406251802891,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.608198852372823
107232498,0,0.6669305716058764,2.0,0.5080185259102431,1,0.5804820237218405,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.253391639810733
107287333,0,0.6857043504418351,0.0,0.4613174421321501,1,0.25,0.25,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,12.429216196844383
107456726,0,0.5361492885773198,3.0,0.2850807983458873,1,0.0,0.25,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.721885810807203
106685793,0,0.5694092009084916,3.0,0.23776986299352698,0,0.25,0.25,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12.449018824140563
107249812,0,0.711117494544868,3.0,0.6122137512436597,1,0.646240625180289,0.25,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,13.487006490992238
107185568,0,0.711117494544868,5.0,0.39505708849629373,1,0.3962406251802891,0.25,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13.217673557208654
107310907,0,0.8164856334703916,1.0,0.5887046065516927,1,0.3962406251802891,0.3962406251802891,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,13.487006490992238
107344070,0,0.3472560998758355,5.0,0.639349528563976,1,0.5,0.3962406251802891,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.623138665316818
106376787,0,0.6669305716058764,0.0,0.2625020660003289,0,0.0,0.25,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,12.203569515312056
107350281,0,0.8064483657567809,4.0,0.6337688462641126,1,0.3962406251802891,0.3962406251802891,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,13.889689956138525
106065853,0,0.7904586558207897,1.0,0.495510479341012,1,0.3962406251802891,0.25,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,13.304518253641184
103749303,0,0.7477753093225762,2.0,0.2991107948815718,1,0.0,0.25,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,12.697715449879391
107350508,0,0.9684787138862891,0.0,0.22897269085504268,0,0.25,0.25,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,12.2783933071098
105695940,0,0.646366223604866,1.0,0.5228506613394143,1,0.3962406251802891,0.25,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13.33731345369001
107191246,0,0.14955506186451523,4.0,0.49869446683863317,0,0.25,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.217673557208654
97626370,0,0.6765215881860741,2.0,0.7991342875468174,1,0.5,0.5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14.845129975145433
105360066,0,0.5534194909725004,3.0,0.5701615966917747,1,0.5804820237218405,0.3962406251802891,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.287877815881902
104388089,0,0.6568933038922656,1.0,0.7153772630712255,1,0.5,0.3962406251802891,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14.557447902693651
107329400,0,0.4486651855935457,3.0,0.3703248854894915,0,0.25,0.25,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12.718048607403508
105407594,0,0.6352990620690318,1.0,0.3703248854894915,0,0.25,0.25,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12.709015280019036
105487421,0,0.6352990620690318,6.0,0.5422869310329116,1,0.3962406251802891,0.25,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,13.173056491719846
106822371,1,0.14955506186451523,4.0,0.7889966028184593,1,0.5,0.5804820237218405,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,14.727793268440891
101991129,0,0.7029745528370157,1.0,0.618272199011073,1,0.5,0.3962406251802891,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13.652991628466498
107097706,0,0.5842952647241249,2.0,0.6817058174458438,1,0.5,0.3962406251802891,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.9108207377686
106431206,0,0.7409251356888623,5.0,0.6894064337250215,1,0.646240625180289,0.5,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,13.997832114758229
106693695,0,0.7791001203769448,1.0,0.5449484079579895,1,0.3962406251802891,0.3962406251802891,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,13.7683141231333
84869722,0,0.5982202474580609,3.0,0.4539028884157875,1,0.25,0.25,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,13.112313041550827
104984560,0,0.6669305716058764,3.0,0.5887046065516927,1,0.25,0.25,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,13.458835614025542
107491345,0,0.6857043504418351,3.0,0.593140470559047,1,0.3962406251802891,0.3962406251802891,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14.145621173745411
103981271,0,0.694512199751671,5.0,0.4302964647253381,0,0.25,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.736700896592344
105580539,0,0.5534194909725004,3.0,0.5422869310329116,0,0.5,0.5,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.731041401337825
107568932,0,0.9039697364541656,7.0,0.47205656328081946,1,0.25,0.25,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,13.060487973686241
103759662,1,0.6568933038922656,4.0,0.7055839602453219,1,0.3962406251802891,0.3962406251802891,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,14.403297222866392
107389375,0,0.5361492885773198,3.0,0.6968850990477417,1,0.646240625180289,0.5,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.703461054155651
106703779,0,0.5982202474580609,1.0,0.34868804791822516,0,0.3962406251802891,0.25,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,12.644327576461329
102976032,0,0.7029745528370157,1.0,0.6688888061424932,1,0.646240625180289,0.3962406251802891,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,14.557447902693651
106790696,0,0.5982202474580609,0.0,0.2991107948815718,1,0.25,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,12.100712129872347
106193535,0,0.4968111617403508,5.0,0.31882850899030823,0,0.25,0.25,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12.604848765487542
107005690,0,0.773188453425609,4.0,0.6894064337250215,1,0.3962406251802891,0.3962406251802891,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,14.151982794585487
106792868,0,0.7409251356888623,4.0,0.5018398595975188,1,0.25,0.25,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12.994530005894443
99979572,0,0.29911012372903045,0.0,0.3754635034142785,0,0.0,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,12.175613438045465
107517690,1,0.7671102389198118,4.0,0.6672412340971211,1,0.5,0.5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14.28551418721001
104210607,0,0.7544146745896504,5.0,0.794114948744063,1,0.5804820237218405,0.5,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,14.75160391713461
106031433,0,0.8606725564093832,1.0,0.7313510269384077,1,0.7499999999999999,0.5804820237218405,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,14.346138809026444
107391583,0,0.8904801975533776,9.0,0.6571298876900235,1,0.3962406251802891,0.3962406251802891,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14.77102200299171
