ID,priceLog,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
105930369,13.591116224748411,0,0.8760907101274585,3.0,0.6801548161058355,1,0.5781296526357756,0.23784458827331328,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
106933202,13.989463865087712,0,0.4968111617403508,4.0,0.7101176216530292,1,0.45815690999132624,0.23784458827331328,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
105501720,13.592367006650065,0,0.7409251356888623,-0.5,0.5620831557580059,1,0.45815690999132624,0.23784458827331328,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
103312737,13.891545244240271,0,0.5982202474580609,1.0,0.6266481228972502,1,0.5781296526357756,0.5374933317397155,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
106677178,11.84939770159144,0,0.694512199751671,0.0,0.13478763005407712,0,0.2890648263178878,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
103466966,14.73180128983843,0,0.41985413904397634,1.0,0.802285573282262,1,0.5781296526357756,0.6444425975133798,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
106657042,12.736700896592344,0,0.14955506186451523,0.0,0.5038562999705878,0,0.2890648263178878,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107081863,12.560244459250788,0,0.6568933038922656,5.0,0.2504265893220725,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
104176631,13.151922179645874,0,0.8012490214930152,5.0,0.5196611620854417,1,0.5781296526357756,0.23784458827331328,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
107488451,13.527828485512494,1,0.7959212854693812,4.0,0.5821966846177207,1,0.2890648263178878,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
107465221,12.524526376648708,0,0.711117494544868,3.0,0.33055693310395606,1,0.2890648263178878,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107006436,12.464583340681674,0,0.5982202474580609,0.0,0.38178738793961675,0,0.2890648263178878,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
102787789,13.731041401337825,0,0.6113007580921018,3.0,0.59170626557816,0,0.5781296526357756,0.40659800924006667,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
107470365,14.22097566607244,0,0.5982202474580609,4.0,0.59170626557816,1,0.45815690999132624,0.23784458827331328,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
107567535,12.886641043883259,0,0.7189642627730068,2.0,0.4653445631580333,1,0.2890648263178878,0.0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
106892859,14.253765488895429,0,0.6113007580921018,2.0,0.6963477681742805,1,0.6711877414712396,0.5374933317397155,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
95635303,12.644327576461329,0,0.7544146745896504,3.0,0.44981877278984816,1,0.5781296526357756,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
104955037,13.773646353865574,0,0.7189642627730068,0.0,0.6538344442208284,1,0.45815690999132624,0.23784458827331328,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
105201645,13.652991628466498,0,0.8064483657567809,3.0,0.5459232712141207,1,0.45815690999132624,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
105356252,13.262125319779487,0,0.646366223604866,3.0,0.4870440978833972,1,0.45815690999132624,0.23784458827331328,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
